mean=0.927, std=0.019, quantiles=(0.810, 0.925, 0.931, 0.936, 0.944)
mean=0.927, std=0.020, quantiles=(0.810, 0.925, 0.931, 0.936, 0.943)
mean=0.926, std=0.020, quantiles=(0.810, 0.924, 0.931, 0.936, 0.943)
mean=0.926, std=0.020, quantiles=(0.810, 0.924, 0.931, 0.936, 0.943)
mean=0.926, std=0.020, quantiles=(0.810, 0.924, 0.931, 0.936, 0.943)
mean=0.926, std=0.020, quantiles=(0.810, 0.924, 0.931, 0.936, 0.943)
mean=0.926, std=0.020, quantiles=(0.810, 0.923, 0.930, 0.935, 0.943)
mean=0.925, std=0.020, quantiles=(0.810, 0.923, 0.930, 0.935, 0.943)
mean=0.925, std=0.021, quantiles=(0.810, 0.923, 0.930, 0.935, 0.943)
mean=0.925, std=0.021, quantiles=(0.810, 0.923, 0.929, 0.934, 0.942)
mean=0.925, std=0.021, quantiles=(0.810, 0.923, 0.929, 0.935, 0.942)
mean=0.924, std=0.021, quantiles=(0.810, 0.923, 0.929, 0.934, 0.943)
mean=0.924, std=0.021, quantiles=(0.810, 0.922, 0.929, 0.934, 0.942)
mean=0.923, std=0.021, quantiles=(0.810, 0.921, 0.928, 0.934, 0.942)
mean=0.923, std=0.022, quantiles=(0.810, 0.920, 0.928, 0.934, 0.942)
mean=0.922, std=0.022, quantiles=(0.810, 0.920, 0.928, 0.933, 0.942)
mean=0.922, std=0.022, quantiles=(0.810, 0.920, 0.927, 0.933, 0.942)
mean=0.922, std=0.022, quantiles=(0.810, 0.920, 0.927, 0.933, 0.942)
mean=0.921, std=0.022, quantiles=(0.810, 0.920, 0.927, 0.932, 0.943)
mean=0.921, std=0.022, quantiles=(0.810, 0.920, 0.927, 0.932, 0.941)
mean=0.921, std=0.022, quantiles=(0.810, 0.919, 0.927, 0.933, 0.941)
mean=0.921, std=0.023, quantiles=(0.810, 0.919, 0.927, 0.932, 0.941)
mean=0.921, std=0.023, quantiles=(0.810, 0.919, 0.927, 0.932, 0.940)
mean=0.921, std=0.023, quantiles=(0.810, 0.919, 0.927, 0.932, 0.940)
mean=0.920, std=0.023, quantiles=(0.810, 0.917, 0.926, 0.932, 0.940)
mean=0.920, std=0.023, quantiles=(0.810, 0.917, 0.926, 0.932, 0.940)
mean=0.920, std=0.023, quantiles=(0.810, 0.916, 0.926, 0.932, 0.940)
mean=0.920, std=0.023, quantiles=(0.810, 0.916, 0.926, 0.932, 0.940)
mean=0.919, std=0.023, quantiles=(0.810, 0.916, 0.926, 0.931, 0.940)
mean=0.919, std=0.023, quantiles=(0.810, 0.916, 0.925, 0.931, 0.940)
mean=0.919, std=0.024, quantiles=(0.810, 0.915, 0.925, 0.931, 0.940)
mean=0.919, std=0.024, quantiles=(0.810, 0.915, 0.925, 0.931, 0.940)
mean=0.918, std=0.024, quantiles=(0.810, 0.915, 0.925, 0.930, 0.940)
mean=0.918, std=0.024, quantiles=(0.810, 0.914, 0.925, 0.931, 0.940)
mean=0.918, std=0.024, quantiles=(0.810, 0.914, 0.925, 0.931, 0.939)
mean=0.918, std=0.024, quantiles=(0.810, 0.914, 0.925, 0.931, 0.939)
mean=0.917, std=0.024, quantiles=(0.810, 0.914, 0.924, 0.930, 0.939)
mean=0.917, std=0.024, quantiles=(0.810, 0.913, 0.923, 0.930, 0.938)
