mean=0.874, std=0.023, quantiles=(0.821, 0.857, 0.872, 0.890, 0.932)
mean=0.874, std=0.023, quantiles=(0.821, 0.857, 0.872, 0.890, 0.932)
mean=0.874, std=0.023, quantiles=(0.821, 0.857, 0.872, 0.890, 0.932)
mean=0.873, std=0.023, quantiles=(0.821, 0.857, 0.871, 0.890, 0.932)
mean=0.873, std=0.023, quantiles=(0.821, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.023, quantiles=(0.821, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.023, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.889, 0.933)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.888, 0.933)
mean=0.873, std=0.022, quantiles=(0.821, 0.857, 0.871, 0.888, 0.930)
mean=0.873, std=0.022, quantiles=(0.821, 0.857, 0.871, 0.888, 0.930)
mean=0.873, std=0.022, quantiles=(0.821, 0.857, 0.871, 0.888, 0.930)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.888, 0.930)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.888, 0.930)
mean=0.873, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.888, 0.930)
mean=0.872, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.888, 0.930)
mean=0.872, std=0.022, quantiles=(0.820, 0.857, 0.871, 0.888, 0.930)
mean=0.936, std=0.011, quantiles=(0.846, 0.933, 0.940, 0.942, 0.945)
mean=0.933, std=0.011, quantiles=(0.847, 0.928, 0.935, 0.942, 0.945)
mean=0.929, std=0.012, quantiles=(0.843, 0.927, 0.933, 0.937, 0.941)
mean=0.926, std=0.016, quantiles=(0.843, 0.919, 0.933, 0.938, 0.942)
mean=0.925, std=0.017, quantiles=(0.844, 0.915, 0.931, 0.938, 0.943)
mean=0.925, std=0.017, quantiles=(0.844, 0.914, 0.931, 0.938, 0.944)
mean=0.924, std=0.017, quantiles=(0.845, 0.914, 0.929, 0.937, 0.945)
mean=0.922, std=0.016, quantiles=(0.846, 0.913, 0.925, 0.935, 0.945)
mean=0.921, std=0.016, quantiles=(0.846, 0.913, 0.923, 0.934, 0.945)
mean=0.919, std=0.017, quantiles=(0.838, 0.907, 0.923, 0.934, 0.944)
mean=0.919, std=0.018, quantiles=(0.834, 0.907, 0.922, 0.934, 0.944)
mean=0.916, std=0.020, quantiles=(0.835, 0.904, 0.921, 0.933, 0.945)
mean=0.915, std=0.022, quantiles=(0.835, 0.900, 0.921, 0.934, 0.945)
mean=0.914, std=0.022, quantiles=(0.833, 0.900, 0.921, 0.932, 0.945)
mean=0.913, std=0.023, quantiles=(0.833, 0.898, 0.920, 0.932, 0.945)
mean=0.912, std=0.022, quantiles=(0.834, 0.897, 0.916, 0.931, 0.945)
mean=0.911, std=0.022, quantiles=(0.834, 0.897, 0.916, 0.929, 0.945)
mean=0.911, std=0.021, quantiles=(0.834, 0.897, 0.915, 0.928, 0.944)
mean=0.910, std=0.021, quantiles=(0.834, 0.896, 0.914, 0.927, 0.944)
mean=0.909, std=0.021, quantiles=(0.834, 0.896, 0.913, 0.927, 0.944)
mean=0.908, std=0.021, quantiles=(0.834, 0.896, 0.910, 0.925, 0.944)
mean=0.908, std=0.020, quantiles=(0.834, 0.895, 0.909, 0.925, 0.944)
mean=0.907, std=0.022, quantiles=(0.833, 0.894, 0.909, 0.925, 0.944)
mean=0.906, std=0.021, quantiles=(0.832, 0.894, 0.908, 0.922, 0.944)
mean=0.905, std=0.021, quantiles=(0.832, 0.893, 0.908, 0.920, 0.944)
mean=0.904, std=0.022, quantiles=(0.829, 0.892, 0.907, 0.920, 0.944)
mean=0.903, std=0.022, quantiles=(0.830, 0.891, 0.906, 0.919, 0.942)
mean=0.901, std=0.022, quantiles=(0.830, 0.888, 0.905, 0.918, 0.942)
mean=0.901, std=0.022, quantiles=(0.830, 0.888, 0.904, 0.917, 0.942)
mean=0.899, std=0.022, quantiles=(0.830, 0.886, 0.901, 0.917, 0.941)
mean=0.899, std=0.021, quantiles=(0.830, 0.886, 0.901, 0.916, 0.941)
mean=0.898, std=0.021, quantiles=(0.830, 0.885, 0.900, 0.915, 0.941)
mean=0.897, std=0.022, quantiles=(0.830, 0.883, 0.899, 0.915, 0.941)
mean=0.897, std=0.022, quantiles=(0.830, 0.882, 0.898, 0.913, 0.941)
mean=0.896, std=0.022, quantiles=(0.830, 0.881, 0.897, 0.912, 0.941)
mean=0.895, std=0.021, quantiles=(0.830, 0.881, 0.897, 0.911, 0.941)
mean=0.895, std=0.021, quantiles=(0.830, 0.881, 0.897, 0.910, 0.941)
mean=0.894, std=0.021, quantiles=(0.829, 0.880, 0.896, 0.910, 0.941)
